glucose,hormone,pct_b,pct_s,ir
8.5,272,128.7,15.7,6.369426751592357
8.5,286,133.8,15.0,6.666666666666667
8.5,300,138.7,14.4,6.944444444444445
9.6,20,15.3,187.0,0.5347593582887701
9.6,34,22.3,110.6,0.9041591320072333
9.6,48,28.6,78.8,1.2690355329949239
9.6,62,34.6,61.3,1.6313213703099512
9.6,76,40.2,50.3,1.9880715705765408
9.6,90,45.7,42.7,2.34192037470726
9.6,104,51.0,37.2,2.6881720430107525
9.6,118,56.1,32.9,3.0395136778115504
9.6,132,61.2,29.6,3.378378378378378
9.6,146,66.1,26.9,3.717472118959108
9.6,160,71.0,24.7,4.048582995951417
9.6,174,75.8,22.8,4.385964912280701
9.6,188,80.5,21.2,4.716981132075472
9.6,202,85.1,19.8,5.05050505050505
9.6,216,89.7,18.6,5.376344086021505
9.6,230,94.3,17.6,5.681818181818182
9.6,244,98.8,16.7,5.9880239520958085
9.6,258,103.2,15.8,6.329113924050633
9.6,272,107.7,15.1,6.622516556291391
9.6,286,112.0,14.4,6.944444444444445
9.6,300,116.4,13.8,7.246376811594202
10.7,20,12.5,180.0,0.5555555555555556
10.7,34,18.3,106.5,0.9389671361502347
10.7,48,23.7,75.9,1.3175230566534912
10.7,62,28.7,59.1,1.6920473773265652
10.7,76,33.6,48.4,2.066115702479339
10.7,90,38.3,41.1,2.4330900243309004
10.7,104,42.8,35.8,2.7932960893854752
10.7,118,47.3,31.7,3.1545741324921135
10.7,132,51.7,28.5,3.508771929824561
10.7,146,56.0,25.9,3.8610038610038613
10.7,160,60.3,23.8,4.201680672268908
10.7,174,64.5,22.0,4.545454545454546
10.7,188,68.6,20.4,4.901960784313726
10.7,202,72.8,19.1,5.2356020942408374
10.7,216,76.8,18.0,5.555555555555555
10.7,230,80.9,17.0,5.882352941176471
10.7,244,84.9,16.1,6.211180124223602
10.7,258,88.9,15.3,6.5359477124183005
10.7,272,92.8,14.6,6.8493150684931505
10.7,286,96.7,13.9,7.194244604316546
10.7,300,100.6,13.3,7.518796992481203
11.8,20,10.5,172.9,0.578368999421631
11.8,34,15.5,102.3,0.9775171065493646
11.8,48,20.1,72.9,1.371742112482853
11.8,62,24.5,56.8,1.7605633802816902
11.8,76,28.7,46.6,2.1459227467811157
11.8,90,32.8,39.5,2.5316455696202533
