glucose,hormone,pct_b,pct_s,ir
8.5,1.685,94.3,22.9,4.366812227074236
8.5,1.85,101.6,20.9,4.784688995215311
8.5,2.015,108.9,19.2,5.208333333333334
8.5,2.18,116.1,17.8,5.617977528089887
8.5,2.345,123.3,16.5,6.0606060606060606
8.5,2.51,130.4,15.4,6.4935064935064934
8.5,2.675,137.5,14.5,6.896551724137931
8.5,2.84,144.6,13.7,7.299270072992701
8.5,3.005,151.7,12.9,7.751937984496124
8.5,3.17,158.7,12.3,8.130081300813007
8.5,3.335,165.8,11.7,8.547008547008547
8.5,3.5,172.8,11.1,9.00900900900901
9.6,0.2,15.4,184.0,0.5434782608695652
9.6,0.365,23.8,100.9,0.9910802775024776
9.6,0.53,31.4,69.6,1.4367816091954024
9.6,0.695,38.6,53.1,1.8832391713747645
9.6,0.86,45.5,43.0,2.3255813953488373
9.6,1.025,52.2,36.1,2.7700831024930745
9.6,1.19,58.8,31.1,3.215434083601286
9.6,1.355,65.2,27.3,3.663003663003663
9.6,1.52,71.6,24.4,4.0983606557377055
9.6,1.685,78.0,22.0,4.545454545454546
9.6,1.85,84.3,20.1,4.975124378109452
9.6,2.015,90.5,18.5,5.405405405405405
9.6,2.18,96.8,17.1,5.847953216374268
9.6,2.345,103.0,15.9,6.289308176100628
9.6,2.51,109.2,14.9,6.7114093959731544
9.6,2.675,115.4,14.0,7.142857142857143
9.6,2.84,121.7,13.2,7.575757575757576
9.6,3.005,127.9,12.4,8.064516129032258
9.6,3.17,134.1,11.8,8.47457627118644
9.6,3.335,140.3,11.2,8.928571428571429
9.6,3.5,146.5,10.7,9.345794392523365
10.7,0.2,12.6,177.1,0.564652738565782
10.7,0.365,19.7,97.1,1.0298661174047374
10.7,0.53,26.1,67.0,1.492537313432836
10.7,0.695,32.2,51.1,1.9569471624266144
10.7,0.86,38.1,41.4,2.4154589371980677
10.7,1.025,43.9,34.7,2.881844380403458
10.7,1.19,49.6,29.9,3.3444816053511706
10.7,1.355,55.3,26.3,3.802281368821293
10.7,1.52,60.9,23.5,4.25531914893617
10.7,1.685,66.5,21.2,4.716981132075472
10.7,1.85,72.0,19.3,5.181347150259067
10.7,2.015,77.6,17.8,5.617977528089887
10.7,2.18,83.2,16.4,6.097560975609756
10.7,2.345,88.7,15.3,6.5359477124183005
10.7,2.51,94.3,14.3,6.9930069930069925
10.7,2.675,99.9,13.4,7.462686567164179
10.7,2.84,105.5,12.7,7.874015748031496
10.7,3.005,111.1,12.0,8.333333333333334
10.7,3.17,116.7,11.4,8.771929824561402
10.7,3.335,122.4,10.8,9.25925925925926
10.7,3.5,128.0,10.3,9.70873786407767
11.8,0.2,10.6,170.1,0.5878894767783657
11.8,0.365,16.6,93.3,1.0718113612004287
11.8,0.53,22.1,64.3,1.5552099533437014
11.8,0.695,27.5,49.1,2.0366598778004072
11.8,0.86,32.7,39.7,2.5188916876574305
11.8,1.025,37.8,33.4,2.9940119760479043
11.8,1.19,42.9,28.8,3.4722222222222223
11.8,1.355,48.0,25.3,3.952569169960474
11.8,1.52,53.0,22.6,4.424778761061947
11.8,1.685,58.1,20.4,4.901960784313726
11.8,1.85,63.1,18.6,5.376344086021505
11.8,2.015,68.2,17.1,5.847953216374268
11.8,2.18,73.2,15.8,6.329113924050633
11.8,2.345,78.3,14.7,6.802721088435375
11.8,2.51,83.5,13.8,7.246376811594202
11.8,2.675,88.6,12.9,7.751937984496124
11.8,2.84,93.8,12.2,8.196721311475411
11.8,3.005,98.9,11.5,8.695652173913043
11.8,3.17,104.2,10.9,9.174311926605505
11.8,3.335,109.4,10.4,9.615384615384615
11.8,3.5,114.7,9.9,10.1010101010101
12.9,0.2,9.0,162.0,0.6172839506172839
12.9,0.365,14.3,88.9,1.124859392575928
12.9,0.53,19.2,61.3,1.6313213703099512
12.9,0.695,23.9,46.8,2.1367521367521367
12.9,0.86,28.6,37.9,2.638522427440633
12.9,1.025,33.2,31.8,3.144654088050314
12.9,1.19,37.9,27.4,3.6496350364963503
12.9,1.355,42.5,24.1,4.149377593360995
12.9,1.52,47.1,21.5,4.651162790697675
12.9,1.685,51.7,19.4,5.154639175257732
12.9,1.85,56.4,17.7,5.649717514124294
12.9,2.015,61.1,16.3,6.134969325153374
12.9,2.18,65.8,15.1,6.622516556291391
12.9,2.345,70.6,14.0,7.142857142857143
12.9,2.51,75.3,13.1,7.633587786259542
12.9,2.675,80.2,12.3,8.130081300813007
12.9,2.84,85.0,11.6,8.620689655172415
12.9,3.005,89.9,11.0,9.090909090909092
12.9,3.17,94.8,10.4,9.615384615384615
12.9,3.335,99.7,9.9,10.1010101010101
12.9,3.5,104.7,9.5,10.526315789473685
14.0,0.2,7.8,152.0,0.6578947368421053
14.0,0.365,12.5,83.4,1.199040767386091
14.0,0.53,16.9,57.5,1.7391304347826086
14.0,0.695,21.2,43.9,2.277904328018223
14.0,0.86,25.5,35.5,2.816901408450704
14.0,1.025,29.7,29.8,3.3557046979865772
14.0,1.19,34.0,25.7,3.8910505836575875
14.0,1.355,38.3,22.6,4.424778761061947
14.0,1.52,42.6,20.2,4.9504950495049505
14.0,1.685,46.9,18.2,5.4945054945054945
14.0,1.85,51.3,16.6,6.024096385542168
14.0,2.015,55.7,15.3,6.5359477124183005
14.0,2.18,60.1,14.2,7.042253521126761
14.0,2.345,64.6,13.2,7.575757575757576
14.0,2.51,69.2,12.3,8.130081300813007
14.0,2.675,73.7,11.6,8.620689655172415
14.0,2.84,78.3,10.9,9.174311926605505
14.0,3.005,83.0,10.3,9.70873786407767
14.0,3.17,87.7,9.8,10.204081632653061
14.0,3.335,92.4,9.3,10.75268817204301
14.0,3.5,97.2,8.9,11.235955056179774
15.1,0.2,6.9,139.8,0.7153075822603719
15.1,0.365,11.1,76.7,1.303780964797914
15.1,0.53,15.1,52.9,1.890359168241966
15.1,0.695,19.0,40.4,2.4752475247524752
15.1,0.86,23.0,32.7,3.0581039755351678
15.1,1.025,26.9,27.5,3.6363636363636362
15.1,1.19,30.9,23.7,4.219409282700422
15.1,1.355,35.0,20.8,4.8076923076923075
15.1,1.52,39.0,18.6,5.376344086021505
15.1,1.685,43.1,16.8,5.9523809523809526
15.1,1.85,47.3,15.3,6.5359477124183005
15.1,2.015,51.5,14.1,7.092198581560284
15.1,2.18,55.7,13.0,7.6923076923076925
15.1,2.345,60.0,12.1,8.264462809917356
15.1,2.51,64.4,11.4,8.771929824561402
15.1,2.675,68.7,10.7,9.345794392523365
15.1,2.84,73.2,10.1,9.900990099009901
15.1,3.005,77.6,9.5,10.526315789473685
15.1,3.17,82.2,9.0,11.11111111111111
15.1,3.335,86.7,8.6,11.627906976744187
15.1,3.5,91.4,8.2,12.195121951219512
16.2,0.2,6.1,126.2,0.7923930269413629
16.2,0.365,9.9,69.2,1.445086705202312
16.2,0.53,13.6,47.8,2.092050209205021
16.2,0.695,17.3,36.5,2.73972602739726
16.2,0.86,21.0,29.5,3.389830508474576
16.2,1.025,24.7,24.8,4.032258064516129
16.2,1.19,28.5,21.4,4.672897196261682
16.2,1.355,32.3,18.8,5.319148936170213
16.2,1.52,36.2,16.8,5.9523809523809526
16.2,1.685,40.1,15.2,6.578947368421053
16.2,1.85,44.1,13.8,7.246376811594202
16.2,2.015,48.1,12.7,7.874015748031496
16.2,2.18,52.2,11.8,8.47457627118644
16.2,2.345,56.4,11.0,9.090909090909092
16.2,2.51,60.6,10.3,9.70873786407767
16.2,2.675,64.8,9.6,10.416666666666668
16.2,2.84,69.1,9.1,10.989010989010989
16.2,3.005,73.5,8.6,11.627906976744187
16.2,3.17,77.9,8.2,12.195121951219512
16.2,3.335,82.3,7.8,12.820512820512821
16.2,3.5,86.8,7.4,13.513513513513512
17.3,0.2,5.5,111.8,0.8944543828264758
17.3,0.365,9.0,61.3,1.6313213703099512
17.3,0.53,12.5,42.3,2.364066193853428
17.3,0.695,15.9,32.3,3.0959752321981426
17.3,0.86,19.4,26.2,3.816793893129771
17.3,1.025,23.0,22.0,4.545454545454546
17.3,1.19,26.6,19.0,5.2631578947368425
17.3,1.355,30.2,16.7,5.9880239520958085
17.3,1.52,33.9,14.9,6.7114093959731544
17.3,1.685,37.7,13.5,7.407407407407407
17.3,1.85,41.6,12.3,8.130081300813007
17.3,2.015,45.5,11.3,8.849557522123893
17.3,2.18,49.4,10.5,9.523809523809524
17.3,2.345,53.5,9.7,10.309278350515465
17.3,2.51,57.5,9.1,10.989010989010989
17.3,2.675,61.7,8.6,11.627906976744187
17.3,2.84,65.9,8.1,12.345679012345679
17.3,3.005,70.1,7.6,13.157894736842106
17.3,3.17,74.4,7.3,13.698630136986301
17.3,3.335,78.8,6.9,14.492753623188404
17.3,3.5,83.2,6.6,15.151515151515152
18.4,0.2,5.0,97.1,1.0298661174047374
18.4,0.365,8.3,53.3,1.876172607879925
18.4,0.53,11.5,36.8,2.717391304347826
18.4,0.695,14.8,28.1,3.558718861209964
18.4,0.86,18.1,22.7,4.405286343612335
18.4,1.025,21.5,19.1,5.2356020942408374
18.4,1.19,25.0,16.5,6.0606060606060606
18.4,1.355,28.5,14.5,6.896551724137931
18.4,1.52,32.1,13.0,7.6923076923076925
18.4,1.685,35.8,11.7,8.547008547008547
18.4,1.85,39.5,10.7,9.345794392523365
18.4,2.015,43.3,9.8,10.204081632653061
18.4,2.18,47.2,9.1,10.989010989010989
18.4,2.345,51.1,8.5,11.764705882352942
18.4,2.51,55.1,7.9,12.658227848101266
18.4,2.675,59.2,7.5,13.333333333333334
18.4,2.84,63.3,7.0,14.285714285714286
18.4,3.005,67.5,6.7,14.925373134328359
18.4,3.17,71.7,6.3,15.873015873015873
18.4,3.335,76.0,6.0,16.666666666666668
18.4,3.5,80.3,5.7,17.543859649122805
19.5,0.2,4.6,82.3,1.2150668286755772
19.5,0.365,7.6,45.2,2.2123893805309733
19.5,0.53,10.7,31.2,3.2051282051282053
19.5,0.695,13.8,23.8,4.201680672268908
19.5,0.86,17.0,19.3,5.181347150259067
19.5,1.025,20.3,16.2,6.172839506172839
19.5,1.19,23.6,14.0,7.142857142857143
19.5,1.355,27.1,12.3,8.130081300813007
19.5,1.52,30.6,11.0,9.090909090909092
19.5,1.685,34.2,9.9,10.1010101010101
19.5,1.85,37.8,9.1,10.989010989010989
19.5,2.015,41.5,8.3,12.048192771084336
19.5,2.18,45.3,7.7,12.987012987012987
19.5,2.345,49.2,7.2,13.88888888888889
19.5,2.51,53.1,6.7,14.925373134328359
19.5,2.675,57.1,6.3,15.873015873015873
19.5,2.84,61.2,6.0,16.666666666666668
19.5,3.005,65.3,5.7,17.543859649122805
19.5,3.17,69.5,5.4,18.51851851851852
19.5,3.335,73.7,5.1,19.607843137254903
19.5,3.5,78.0,4.9,20.408163265306122
20.6,0.2,4.2,67.5,1.4814814814814814
20.6,0.365,7.1,37.1,2.6954177897574123
20.6,0.53,10.0,25.6,3.90625
20.6,0.695,13.0,19.5,5.128205128205129
20.6,0.86,16.1,15.8,6.329113924050633
20.6,1.025,19.3,13.3,7.518796992481203
20.6,1.19,22.5,11.5,8.695652173913043
20.6,1.355,25.9,10.1,9.900990099009901
20.6,1.52,29.3,9.0,11.11111111111111
20.6,1.685,32.8,8.2,12.195121951219512
20.6,1.85,36.4,7.4,13.513513513513512
20.6,2.015,40.1,6.9,14.492753623188404
20.6,2.18,43.8,6.3,15.873015873015873
20.6,2.345,47.6,5.9,16.94915254237288
20.6,2.51,51.5,5.5,18.181818181818183
20.6,2.675,55.4,5.2,19.23076923076923
20.6,2.84,59.5,4.9,20.408163265306122
20.6,3.005,63.5,4.7,21.27659574468085
20.6,3.17,67.7,4.4,22.727272727272727
20.6,3.335,71.8,4.2,23.80952380952381
20.6,3.5,76.1,4.0,25.0
21.7,0.2,3.9,52.4,1.9083969465648856
21.7,0.365,6.6,28.8,3.4722222222222223
21.7,0.53,9.5,19.9,5.025125628140704
21.7,0.695,12.4,15.2,6.578947368421053
21.7,0.86,15.4,12.3,8.130081300813007
21.7,1.025,18.4,10.4,9.615384615384615
21.7,1.19,21.6,8.9,11.235955056179774
21.7,1.355,24.9,7.9,12.658227848101266
21.7,1.52,28.3,7.0,14.285714285714286
21.7,1.685,31.7,6.4,15.625
21.7,1.85,35.3,5.8,17.24137931034483
21.7,2.015,38.9,5.3,18.867924528301888
21.7,2.18,42.6,4.9,20.408163265306122
21.7,2.345,46.3,4.6,21.73913043478261
21.7,2.51,50.2,4.3,23.255813953488374
21.7,2.675,54.1,4.1,24.390243902439025
21.7,2.84,58.0,3.8,26.315789473684212
21.7,3.005,62.1,3.6,27.77777777777778
21.7,3.17,66.2,3.4,29.411764705882355
21.7,3.335,70.3,3.3,30.303030303030305
21.7,3.5,74.5,3.1,32.25806451612903
22.8,0.2,3.6,37.0,2.7027027027027026
22.8,0.365,6.3,20.3,4.926108374384237
22.8,0.53,9.0,14.0,7.142857142857143
22.8,0.695,11.8,10.7,9.345794392523365
22.8,0.86,14.7,8.7,11.49425287356322
22.8,1.025,17.7,7.3,13.698630136986301
22.8,1.19,20.9,6.3,15.873015873015873
22.8,1.355,24.1,5.6,17.857142857142858
22.8,1.52,27.4,5.0,20.0
22.8,1.685,30.8,4.5,22.22222222222222
22.8,1.85,34.3,4.1,24.390243902439025
22.8,2.015,37.9,3.8,26.315789473684212
22.8,2.18,41.5,3.5,28.571428571428573
22.8,2.345,45.2,3.3,30.303030303030305
22.8,2.51,49.0,3.1,32.25806451612903
22.8,2.675,52.9,2.9,34.48275862068966
22.8,2.84,56.8,2.7,37.03703703703704
22.8,3.005,60.8,2.6,38.46153846153846
22.8,3.17,64.9,2.4,41.66666666666667
22.8,3.335,69.0,2.3,43.47826086956522
22.8,3.5,73.2,2.2,45.45454545454545
23.9,0.2,3.4,20.8,4.8076923076923075
23.9,0.365,5.9,11.4,8.771929824561402
23.9,0.53,8.6,7.9,12.658227848101266
23.9,0.695,11.3,6.0,16.666666666666668
23.9,0.86,14.2,4.9,20.408163265306122
23.9,1.025,17.1,4.1,24.390243902439025
23.9,1.19,20.2,3.6,27.77777777777778
23.9,1.355,23.4,3.1,32.25806451612903
23.9,1.52,26.7,2.8,35.714285714285715
23.9,1.685,30.0,2.5,40.0
23.9,1.85,33.5,2.3,43.47826086956522
23.9,2.015,37.0,2.1,47.61904761904762
23.9,2.18,40.6,2.0,50.0
23.9,2.345,44.3,1.8,55.55555555555556
23.9,2.51,48.1,1.7,58.82352941176471
23.9,2.675,51.9,1.6,62.5
23.9,2.84,55.9,1.5,66.66666666666667
23.9,3.005,59.8,1.5,66.66666666666667
23.9,3.17,63.9,1.4,71.42857142857143
23.9,3.335,68.0,1.3,76.92307692307692
23.9,3.5,72.1,1.3,76.92307692307692
25.0,0.2,3.2,3.3,30.303030303030305
25.0,0.365,5.6,1.8,55.55555555555556
25.0,0.53,8.2,1.3,76.92307692307692
25.0,0.695,10.9,1.0,100.0
25.0,0.86,13.7,0.8,125.0
25.0,1.025,16.6,0.7,142.85714285714286
25.0,1.19,19.6,0.6,166.66666666666669
25.0,1.355,22.8,0.5,200.0
25.0,1.52,26.0,0.5,200.0
25.0,1.685,29.4,0.4,250.0
25.0,1.85,32.8,0.4,250.0
25.0,2.015,36.3,0.3,333.33333333333337
25.0,2.18,39.9,0.3,333.33333333333337
25.0,2.345,43.6,0.3,333.33333333333337
25.0,2.51,47.3,0.3,333.33333333333337
25.0,2.675,51.1,0.3,333.33333333333337
25.0,2.84,55.0,0.2,500.0
25.0,3.005,59.0,0.2,500.0
25.0,3.17,63.0,0.2,500.0
25.0,3.335,67.1,0.2,500.0
25.0,3.5,71.2,0.2,500.0
